model,micro_f1,macro_f1,weighted_f1,samples_f1,hamming_loss,exact_match_ratio
Fine-tuned BERT (Text Only),0.5872340425531914,0.49240575257090213,0.5721553237919746,0.6290199099743531,0.06780950731236544,0.16577169582539408
BERT (Minimal),0.48166644171503126,0.38546555426104995,0.46236736243913634,0.5497818250806298,0.0712739105689045,0.13701714879611987
BERT (Medium),0.46341683186159666,0.36092931050422783,0.438331435358801,0.5280216607689325,0.07368043354532182,0.13337952537675385
RoBERTa (Minimal),0.43010554454532884,0.3250204041996659,0.3964338939271149,0.47959645201114104,0.07649526119125981,0.1358046076563312
RoBERTa (Medium),0.4166241949682621,0.30887559186276675,0.3792292772415578,0.46369360377674945,0.07789339536264879,0.13234020439979213
BERT (Harsh),0.41123009088454965,0.2637485019261409,0.34746633051445985,0.47056604499874893,0.08095568038405385,0.12194699463017496
RoBERTa (Harsh),0.3883039860236311,0.24664930929310644,0.32483227240193524,0.437382973282852,0.08231050951473609,0.12333275593279058
Ekman (Medium),0.09960050844379881,0.05565469065290542,0.04175872745894561,0.09278263069186332,0.12270173962534954,0.00796812749003984
Ekman (Minimal),0.09868928296067848,0.05383892012307712,0.04048897116958281,0.09145887120943418,0.12294301056642994,0.007621687164385935
Ekman (Harsh),0.09394505444439383,0.05314735317407964,0.03974045402845071,0.08789328538159302,0.12302962064784341,0.008314567815693747
